ID,TTS Reference,Decision Reference,TTS Reference (lookup),Description,Vendor,BBBEE Level,Date of decision,Date Resolution Sent,Budget Value (Rates based),Value of Decision (Fixed),Condonation Value,Rates Based,Reason,Decision Code,Decision Comment,TTS:Implementing Director,TTS:Implementing Department,TTS:Status,Financial Year,Reg 45 Applicable,TTS:Commencement Date of Contract,TTS:Expiry Date of Contract,TTS:SAP Contract Number,TTS:Extended Expiry Date,S33 Award,Commencement Date of Contract,Expiry Date of Contract,Reg 45 Comments,Reason Sub-Category,City Manager Decision Date,SCM Practitioner,Project Manager,Days between BAC and Resolution,SCMB Number Check,SCM Reg 45 Award,TTS Reference (lookup):Project Description,TTS Reference (lookup):SCM Rep,TTS Reference (lookup):c_Awarded to,TTS Reference (lookup):Internal Project Manager,TTS Reference (lookup):Internal Project Manager 3 Email,UseTenderNum,Replacement pages required at BAC,No written responses received to BAC comments,Item Type,Path,
3387,318S/2024/25,SCMB 05/01/26,318S/2024/25,PANEL OF LEGAL SERVICE PROVIDERS FOR CONVEYANCING SERVICES ON AN AS-AND-WHEN REQUIRED BASIS,,,2026/01/19,,,,,N/A,Cancellation,Approved,,ECONOMIC GROWTH ,ECONOMIC GROWTH - Property Transactions,20. Cancelled,2025-2026,,,,,,FALSE,,,,,,,,missing date,,,PANEL OF LEGAL SERVICE PROVIDERS FOR CONVEYANCING SERVICES ON AN AS-AND-WHEN–REQUIRED BASIS,Thando Sindaphi,,Shelton Nhiwatiwa,,318S/2024/25,No,No,Item,sites/tendertracking/Lists/SCMBAC Awards Register,
3388,041C/2024/25,SCMB 06/01/26,041C/2024/25,"PANEL OF LEGAL SERVICE PROVIDERS FOR LEGAL SUPPORT, OPINIONS AND MISCELLANEOUS LEGAL SERVICES AS AND WHEN REQUIRED","Mamatela Attorneys Incorporated
Timothy and Timothy Inc Ua Timothy and Timothy Attorneys
Herold Gie & Broadhead Incorporated Ua Herold Gie Attorneys
Diale Mogashoa Inc
Von Lieres Cooper & Barlow
Salijee Govender van der Merwe Attorney Inc.
Riley Incorporated
CK Attorneys
Cluver Markotter Inc.
Cullinan and Associates Incorporated",,2026/01/19,,,,,,Preferred Bidder,Approved,,OFFICE OF THE CITY MANAGER ,Office of the City Manager - Legal Services,10. Preferred Bidder,2025-2026,,,,,,FALSE,,,,,,,,missing date,,,"Panel of legal service providers for legal support, opinions and miscellaneous legal services as and when required",Mohammed Beni,,Malibongwe Nyumbeka,,041C/2024/25,No,No,Item,sites/tendertracking/Lists/SCMBAC Awards Register,
3389,140G/2023/24,SCMB 07/01/26,140G/2023/24,Appointment of a panel of IT contractors for computer hardware peripherals for the City of Cape town,Madge Computers (Pty) Ltd t/a Madge Computers,,2026/01/19,,,,,Yes,Award: Highest Adjudication Points,Approved,,CORPORATE SERVICES ,Corporate Services - Information Systems & Technology,16. Active Contract,2025-2026,,2024-07-01 00:00:00,2027-06-30 00:00:00,4600016331; 4600016332; 4600016338; 4600016359; 4600016361; 4600016365; 4600016366; 4600016374; 4600016375; 4600016376; 4600016403,,FALSE,,,,,,,,missing date,,,Supply and Delivering of Computer Hardware Peripherals,Ryan Jonas,,Ettienne Lakay,,140G/2023/24,No,No,Item,sites/tendertracking/Lists/SCMBAC Awards Register,
3390,140G/2023/24,SCMB 08/01/26,140G/2023/24,Appointment of a panel of IT contractors for computer hardware peripherals for the City of Cape Town,Madge Computers (Pty) Ltd t/a Madge Computers,,2026/01/19,,,,,,Award: Highest Adjudication Points,Approved,,CORPORATE SERVICES ,Corporate Services - Information Systems & Technology,16. Active Contract,2025-2026,,2024-07-01 00:00:00,2027-06-30 00:00:00,4600016331; 4600016332; 4600016338; 4600016359; 4600016361; 4600016365; 4600016366; 4600016374; 4600016375; 4600016376; 4600016403,,FALSE,,,,,,,,missing date,,,Supply and Delivering of Computer Hardware Peripherals,Ryan Jonas,,Ettienne Lakay,,140G/2023/24,No,No,Item,sites/tendertracking/Lists/SCMBAC Awards Register,
3391,218S/2024/25,SCMB 09/01/26,218S/2024/25,APPOINTMENT OF AN ACCREDITED SERVICE PROVIDER TO PROVIDE IN-HOUSE COMPETENCE (NON-ACCREDITED) AND ACCREDITED (CREDIT BEARING) ADMINISTRATION AND GENERIC SKILLS TRAINING FOR THE CITY OF CAPE TOWN EMPLOYEES.,"Work Skills Resources CC
llearn Corporate Services (Pty) Ltd t/a iLeam",,2026/01/19,2026/01/21,,,,Yes,Award: Highest Adjudication Points,Approved,,CORPORATE SERVICES ,CORPORATE SERVICES - Human Resources ,12. Appeals,2025-2026,,,,,,FALSE,,,,,,,,2,,,APPOINTMENT OF AN ACCREDITED SERVICE PROVIDER TO PROVIDE IN-HOUSE COMPETENCE (NON-ACCREDITED) AND ACCREDITED (CREDIT BEARING) ADMINISTRATION AND GENERIC SKILLS TRAINING FOR THE CITY OF CAPE TOWN EMPLOYEES,Ryan Jonas,,Nozi Gwadiso,,218S/2024/25,No,No,Item,sites/tendertracking/Lists/SCMBAC Awards Register,
3392,242S/2023/24,SCMB 10/01/26,242S/2023/24,Appointment of a Panel of Service Providers for the Provision of SAP Services to the City of Cape Town. Project: Integration and Enhancement of PPM,"SP Practice Consulting Services (Pty) Ltd t/a SPPRACSpecialised 
Project",,2026/01/19,, R970 071.00 ,,,No,Award: Highest Adjudication Points,Approved,,CORPORATE SERVICES ,Corporate Services - Information Systems & Technology,16. Active Contract,2025-2026,,2025-11-01 00:00:00,2028-06-30 00:00:00,"4600017845, 4600017680, 4600017200, 4600017204, 4600017202, 4600017203",2025-07-02 00:00:00,FALSE,,,,,,,,missing date,,,Appointment of a Panel of Service Providers for the Provision of SAP Services to the City of Cape Town,Ryan Jonas,,Adri Janse van Rensburg,,242S/2023/24,No,No,Item,sites/tendertracking/Lists/SCMBAC Awards Register,
3393,107Q/2018/19,SCMB 11/01/26,107Q/2018/19,TENDER FOR CIVIL ENGINEERING WORKS WITHIN THE CITY OF CAPE TOWN.,Nejeni Construction and Project Management (Pty) Ltd,,2026/01/19,,,,,N/A,Expansion,Approved,,HUMAN SETTLEMENTS ,Human Settlements - Informal Settlements,16. Active Contract,2025-2026,,2021-02-11 00:00:00,2026-02-10 00:00:00,4600011251,,FALSE,,,,,,,,missing date,,,Term tender for civil engineering works in informal settlements.,Thembi Gumede,,Diaan Rangole,Siraaj.Samsodien@capetown.gov.za,107Q/2018/19,No,No,Item,sites/tendertracking/Lists/SCMBAC Awards Register,
3394,324S/2024/25,SCMB 12/01/26,324S/2024/25,"SUPPLY, INSTALL AND MAINTAIN AN INFORMATION TECHNOLOGY SERVICE MANAGEMENT (ITSM) SOLUTION","Quintica SA (Pty) Ltd 
Columbus Technologies (Pty) Ltd",,2026/01/19,,,,,N/A,Preferred Bidder,Approved,,CORPORATE SERVICES ,Corporate Services - Information Systems & Technology,11. Report Ready,2025-2026,,,,,,FALSE,,,,,,,,missing date,,,Core Applications Review: Procurement of IT Service Management (ITSM) Solution,Sipho Dike,,Ammon Niewenhuis,,324S/2024/25,No,No,Item,sites/tendertracking/Lists/SCMBAC Awards Register,
3395,068C/2019/20,SCMB 13/01/26,068C/2019/20,AMENDMENT OF CONTRACT NO. 68C/2019/20: PROVISION OF PROFESSIONAL SERVICES FOR THE DETAILED DESIGN AND CONSTRUCTION MONITORING OF THE GORDONS BAY SEWER PUMP STATION AND RISING MAIN,Zutari (Pty) Ltd,,2026/01/19,, R12 135 544.87 ,,,N/A,Amendment,Approved,,WATER & SANITATION ,Water & Sanitation - Distribution Services,16. Active Contract,2025-2026,,2020-07-01 00:00:00,2025-06-30 00:00:00,4600010464,2026-09-09 00:00:00,FALSE,,,,,,,,missing date,,,Provision of Professional Services for the  Detailed Design and Construction Monitoring of the Gordon’s Bay Sewer Pump Station and Rising Main,Ayanda Walter Mili,,Jaco Koen,Charl.Moller@capetown.gov.za,068C/2019/20,No,No,Item,sites/tendertracking/Lists/SCMBAC Awards Register,
3396,271Q/2022/23,SCMB 14/01/26,271Q/2022/23,AMENDMENT OF CONTRACT NO. 271 Q/2022/23: CONSTRUCTION OF GORDON'S BAY SEWAGE PUMP STATION AND RISING MAIN,Asla Construction (Pty) Ltd.,,2026/01/19,, R16 557 459.55 ,,,N/A,Amendment,Approved,,WATER & SANITATION ,Water & Sanitation - Distribution Services,16. Active Contract,2025-2026,,2024-02-09 00:00:00,2025-08-08 00:00:00,4600015496,,FALSE,,,,,,,,missing date,,,CONSTRUCTION OF GORDONS BAY SEWER PUMPSTATION AT GORDON'S BAY WWTWS AND RISING MAIN,Nkosana Christian Mkhosana,,Jaco Koen,,271Q/2022/23,No,No,Item,sites/tendertracking/Lists/SCMBAC Awards Register,
